Storeid,StoreName,State,Date,VALUE,Energizer Tower Pre-Pack,Eveready Tower Pre-Pack ,Energizer Max Plus 10's Penta,Energizer Max 14/16 Loose Stock,Energizer Max 24pk Loose Stock,Energizer Specialty Range Loose,Armor All®  Range Loose,Armor All® Quick Clean Kit ,Jelly Belly® Range Loose Stock Deal,Eveready Lighting Tower,Energizer Tower Pre-Pack,Eveready Tower Pre-Pack ,Energizer Max Plus 10's Penta,Energizer Max 14/16 Loose Stock,Energizer Max 24pk Loose Stock,Energizer Specialty Range Loose,Armor All®  Range Loose,Armor All® Quick Clean Kit ,Jelly Belly® Range Loose Stock Deal,Eveready Lighting Tower
33085,SUPA IGA DELAHEY (MORGANS)  402602,VIC,30/6/2025,2697.726117,1000.72,568.53,659.32,1362.69,53.01,242.66,229.89,70.88,65.07,0,2,1,2,3,1,2,1,1,1.206116775,0
20428,SUPA IGA SUNBURY (MORGANS)  528356,VIC,30/6/2025,1735.496117,1000.72,568.53,329.66,908.46,0,121.33,229.89,70.88,65.07,0,2,1,1,2,0,1,1,1,1.206116775,0
11599,SUPA IGA MELTON (MORGANS)  401786,VIC,30/6/2025,1735.496117,1000.72,568.53,329.66,908.46,0,121.33,229.89,70.88,65.07,0,2,1,1,2,0,1,1,1,1.206116775,0
52532,SUPA IGA GLENGALA (MORGANS)  403204,VIC,30/6/2025,1070.936117,500.36,568.53,0,454.23,0,242.66,229.89,70.88,65.07,0,1,1,0,1,0,2,1,1,1.206116775,0
83201,FWKS GRANTVILLE,VIC,1/7/2025,246.66,500.36,568.53,0,0,0,242.66,0,0,0,0,1,1,0,0,0,2,0,0,0,0
43953,IGA FERNTREE GULLY (MAXI)  378992,VIC,1/7/2025,123.33,500.36,0,0,0,0,121.33,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7713,FOODWORKS GISBORNE 193177,VIC,2/7/2025,342.5946432,500.36,0,0,0,0,0,229.89,0,108.69,0,1,0,0,0,0,0,1,0,2.014643188,0
33201,SUPA IGA CASTLEMAINE (MAXI)  371005,VIC,4/7/2025,586.3846432,1000.72,1137.06,0,0,106.02,0,229.89,141.76,97.9,0,2,2,0,0,2,0,1,2,1.814643188,0
16039,IGA ORMOND 978395,VIC,8/7/2025,455.23,0,0,0,454.23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19825,FOODWORKS MYRTLEFORD (NICK COOK)  771212,VIC,9/7/2025,305.8961168,500.36,568.53,0,0,0,0,0,212.64,86.65,0,1,1,0,0,0,0,0,3,1.606116775,0
