Store,Name,Banner,Overall,Automotive,Energy Storage,Lighting,Special Order Hardware
723411,WB Hunter Home Timber & Hardware (Yarrawonga),Home,-26.35%,-17.69%,-29.81%,39.14%,
723510,WB Hunter (Euroa),Mitre 10,24.70%,-100.00%,29.18%,,
723619,WB Hunter (Wangaratta),Mitre 10,23.99%,-100.00%,22.61%,88.12%,
726257,Huon Valley Mitre 10 (Geeveston),Mitre 10,23.05%,-10.98%,36.20%,-30.51%,
727008,Ingram's Home Timber & Hardware (Kingscote),Home,-17.12%,-28.60%,-13.60%,-33.18%,
728956,T. Ismay & Co Home Hardware (Rainbow),Home,-3.23%,-12.47%,-0.90%,-15.93%,
747717,Kies Home Timber & Hardware (Goolwa),Home,5.14%,-3.29%,4.86%,26.36%,
751651,A C Kleemann & Sons (Waikerie),-,-94.09%,,-94.09%,,
753947,Kyneton Home Timber & Hardware (Kyneton),Home,-0.25%,-15.59%,0.51%,15.06%,
757773,Lancefield Hardware (Lancefield),Thrifty,-24.25%,-21.77%,-24.81%,,
761395,Legana Plants Plus (Legana),-,0.00%,,0.00%,,
765776,Limos Mitre 10 (Nathalia),Mitre 10,22.24%,1.76%,23.09%,1.62%,0.00%
770461,Loxton Home Timber & Hardware (Loxton),Home,-7.57%,-21.51%,-6.76%,16.88%,0.00%
772780,MGM Home Timber & Hardware (Ascot Vale),Home,3.83%,30.51%,2.17%,7.58%,
780635,H & D Timber & Hardware Pty Ltd (Heatherbrae),-,-9.81%,,-11.68%,658.90%,
781740,Godings Farm Supplies (Macclesfield),-,-60.72%,,-60.72%,,
782847,Gloucester Hardware (Gloucester),-,1.77%,60.51%,-7.30%,29.20%,
783126,Nutrien Ag Solutions Limited- Dorrigo (Dorrigo),-,-,,-,,
783332,Goulburn Mitre 10 (Goulburn),Mitre 10,-12.06%,-20.47%,-8.37%,-30.44%,
783468,Gayndah Fruitgrowers Mitre 10 (Gayndah),Mitre 10,5.67%,22.71%,4.94%,-23.47%,
783470,Murilla Mitre 10 (Miles),Mitre 10,13.55%,27.28%,13.43%,-26.34%,
