Store,Storeid,Suburb,State,Postcode,RANK,Banner,Group,,,,,,,,,,,
FRIENDLY GROCER CHIFLEY,40007,CHIFLEY,NSW,2036,1970,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER CHIPPING NORTON,21096,CHIPPING NORTON,NSW,2170,1642,IGA Local Grocer,MOHAM,,,,,,,,,,,
IGA M CLAREMONT MEADOWS PLUS LIQUOR,40692,CLAREMONT MEADOWS,NSW,2747,1338,IGA Medium,,,,,,,,,,,,
URBAN GROCER CLARENCE ST (FGRC),265753,CLARENCE,NSW,2790,1935,Friendly Grocer,,,,,,,,,,,,
IGA M CLARENCE TOWN,14570,CLARENCE TOWN,NSW,2321,707,IGA Medium,LOVEGROVE,,,,,,,,,,,
FOODWORKS CLOVELLY,13562,CLOVELLY,NSW,2031,1840,Foodworks,PATEL GROUP,,,,,,,,,,,
IGA M COBAR (LINSLEY ST),10633,COBAR,NSW,2835,326,IGA Medium,KHAN,,,,,,,,,,,
IGA M COBAR (MARSHALL ST),9390,COBAR,NSW,2835,210,IGA Medium,KHAN,,,,,,,,,,,
IGA L COFFS HARBOUR + LIQUOR (RITCHIES),21949,COFFS HARBOUR,NSW,2450,552,IGA Large,RITCHIES,,,,,,,,,,,
FGRC COLEAMBALLY,410,COLEAMBALLY,NSW,2707,1269,Friendly Grocer,,,,,,,,,,,,
FRIENDLY GROCER COLLARENEBRI,22059,COLLARENEBRI,NSW,2833,1227,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER COLLAROY BEACH,52552,COLLAROY BEACH,NSW,2097,1313,IGA Local Grocer,,,,,,,,,,,,
IGA M COLLAROY PLATEAU PLUS LIQUOR,32760,COLLAROY PLATEAU,NSW,2097,607,IGA Medium,,,,,,,,,,,,
FRIENDLY GROCER COLYTON,24083,COLYTON,NSW,2760,1538,Friendly Grocer,,,,,,,,,,,,
IGA M COLYTON,32412,COLYTON,NSW,2760,906,IGA Medium,,,,,,,,,,,,
FGRC COMBOYNE,127428,COMBOYNE,NSW,2429,2041,Friendly Grocer,-,,,,,,,,,,,
IGA M CONDELL PARK,21776,CONDELL PARK,NSW,2200,570,IGA Medium,,,,,,,,,,,,
CAMPUS & CO CONDOBOLIN (FWKS),243391,CONDOBOLIN,NSW,2877,2144,Foodworks,,,,,,,,,,,,
FOODWORKS CONDOBOLIN,7696,CONDOBOLIN,NSW,2877,806,Foodworks,PAREKH GROUP,,,,,,,,,,,
IGA L CONDOBOLIN,17096,CONDOBOLIN,NSW,2877,231,IGA Large,,,,,,,,,,,,
FGRC COOGEE,230255,COOGEE,NSW,2034,1955,Friendly Grocer,,,,,,,,,,,,
IGA M COOLAH PLUS LIQUOR,32999,COOLAH,NSW,2843,773,IGA Medium,KAUR,,,,,,,,,,,
FOODWORKS COOLAMON,43488,COOLAMON,NSW,2701,522,Foodworks,,,,,,,,,,,,
FRIENDLY GROCER COOLONGOLOOK,173830,COOLONGOLOOK,NSW,2423,2157,Friendly Grocer,,,,,,,,,,,,
IGA M COONABARABRAN PLUS LIQUOR,18282,COONABARABRAN,NSW,2357,1063,IGA Medium,CAVALLARO GROUP,,,,,,,,,,,
IGA M COONAMBLE,17286,COONAMBLE,NSW,2829,173,IGA Medium,PAREKH GROUP,,,,,,,,,,, 
IGA LOCAL GROCER COORANBONG,20940,COORANBONG,NSW,2265,1272,IGA Local Grocer,,,,,,,,,,,,
IGA M COOTAMUNDRA (MAWHOOD'S),3815,COOTAMUNDRA,NSW,2590,571,IGA Medium,MAWHOOD BROS,,,,,,,,,,,
IGA L COROWA PLUS LIQUOR (WALDRON'S),32567,COROWA,NSW,2646,171,IGA Large,,,,,,,,,,,,
CAMPUS & CO COWRA (FWKS),247147,COWRA,NSW,2794,2128,Foodworks,,,,,,,,,,,,
IGA CRANEBROOK PLUS LIQUOR,276544,CRANEBROOK,NSW,2749,1181,IGA Medium,-,,,,,,,,,,,
IGA M CREMORNE,10391,CREMORNE,NSW,2090,356,IGA Medium,KARELLAS,,,,,,,,,,,
FOODWORKS CRESCENT HEAD,18198,CRESCENT HEAD,NSW,2440,1138,Foodworks,,,,,,,,,,,,
FRIENDLY GROCER CROMER,46246,CROMER,NSW,2099,1824,Friendly Grocer,,,,,,,,,,,,
IGA M LLOYDS NORTH CRONULLA,745,CRONULLA,NSW,2230,251,IGA Medium,LIONIS,,,,,,,,,,,
IGA M CROOKWELL PLUS LIQUOR,18471,CROOKWELL,NSW,2583,260,IGA Medium,FLOYD DAVIES,,,,,,,,,,,
FGRC CROWS NEST,248773,CROWS NEST,NSW,1585,1942,Friendly Grocer,NARINDER SINGH,,,,,,,,,,,
IGA LOCAL GROCER CROYDON PARK,8001,CROYDON PARK,NSW,2133,1530,IGA Local Grocer,,,,,,,,,,,,
FOODWORKS CULCAIRN,13376,CULCAIRN,NSW,2660,1082,Foodworks,,,,,,,,,,,,
FGRC CURRANS HILL SUPERMARKET PLUS LIQUOR,52528,CURRANS HILL,NSW,2567,1595,Friendly Grocer,,,,,,,,,,,,
IGA M DALMENY,32685,DALMENY,NSW,2546,791,IGA Medium,,,,,,,,,,,,
IGA LOCAL GROCER DAPTO,18575,DAPTO,NSW,2530,997,IGA Local Grocer,,,,,,,,,,,,
IGA M DARETON PLUS LIQUOR,10291,DARETON,NSW,2717,1069,IGA Medium,WALKERS,,,,,,,,,,,
FRIENDLY GROCER DARLINGHURST,41123,DARLINGHURST,NSW,1300,1702,Friendly Grocer,NARINDER SINGH,,,,,,,,,,,
IGA M OXFORD STREET (ROMEO),7126,DARLINGHURST,NSW,2010,685,IGA Medium,ROMEO,,,,,,,,,,,
FRIENDLY GROCER DARLINGTON PT,2206,DARLINGTON,NSW,2008,1885,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER DEE WHY,254090,DEE WHY,NSW,2099,1254,IGA Local Grocer,,,,,,,,,,,,
FRIENDLY GROCER DELEGATE,47020,DELEGATE,NSW,2633,1920,Friendly Grocer,,,,,,,,,,,,
IGA L DENILIQUIN RITCHIES,32628,DENILIQUIN,NSW,2710,178,IGA Large,RITCHIES,,,,,,,,,,,
IGA M DENMAN,13878,DENMAN,NSW,2328,978,IGA Medium,KAUR,,,,,,,,,,,
