Storeid,StoreName,State,ENERGIZER_1_sales,ENERGIZER_1 suggest,ENERGIZER_2_sales,ENERGIZER_2 suggest,ENERGIZER_3_sales,ENERGIZER_3 suggest,ENERGIZER_4_sales,ENERGIZER_4 suggest,EVEREADY_1_sales,EVEREADY_1_suggest,ARMORALL_1_sales,ARMORALL_1_suggest,ARMORALL_2_sales,ARMORALL_2_suggest,JELLYBELLY_1_sales,JELLYBELLY_1_suggest,TORCH_1_sales,TORCH_1_suggest
48113,GOOD GROCER MYAREE (BRINDLE) 206890,WA,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
299059,GOOD GROCER APPLECROSS ARDROSS ST (BRINDLE) 207098,WA,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
84262,IGA M KARRATHA GOOD GROCER 209155,WA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40655,IGA L BLAXLAND KARELLAS,NSW,2,1,2,2,1,1,2,2,1,1,1,1,0,0,2,2,1,1
102237,IGA L HAROLD PARK,NSW,2,1,2,2,1,1,2,2,1,1,0,0,0,0,2,2,1,1
10391,IGA M CREMORNE,NSW,1,1,2,2,1,1,2,2,0,0,0,0,0,0,2,2,1,1
183120,IGA M FRESHWATER (SUPERMART),NSW,1,1,2,2,1,1,2,2,0,0,0,0,0,0,2,2,1,1
21544,IGA M LINDFIELD (SUPAMART IGA LINDFIELD),NSW,2,1,2,2,1,1,2,2,0,0,0,0,0,0,2,2,1,1
22373,IGA M PENNANT HILLS,NSW,1,1,2,2,1,1,2,2,0,0,1,1,0,0,2,2,1,1
15426,IGA M ROSE BAY,NSW,1,1,2,2,0,0,2,2,0,0,0,0,0,0,2,2,1,1
18052,IGA L LLOYDS SOUTH HURSTVILLE,NSW,3,1,0,0,2,2,0,0,0,0,1,1,0,0,2,2,0,0
6252,IGA L LLOYDS SPRINGWOOD,NSW,3,1,0,0,2,2,0,0,0,0,1,1,1,1,2,2,0,0
745,IGA M LLOYDS NORTH CRONULLA,NSW,3,1,0,0,2,2,0,0,0,0,1,1,1,1,2,2,0,0
8863,IGA M NEWTOWN,NSW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8645,IGA M PANANIA,NSW,3,1,0,0,2,2,0,0,0,0,1,1,1,1,2,2,0,0
20010,FOODWORKS CANOWINDRA,NSW,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0
7696,FOODWORKS CONDOBOLIN,NSW,1,1,0,0,0,0,1,1,0,0,2,2,1,1,0,0,0,0
16146,FWKS LAKE CARGELLIGO,NSW,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
53354,IGA L YASS,NSW,1,1,0,0,1,1,1,1,1,1,1,1,2,2,0,0,0,0
17286,IGA M COONAMBLE,NSW,1,1,0,0,1,1,0,0,1,1,1,1,1,1,2,2,0,0
4283,IGA M HILLSTON,NSW,1,1,0,0,0,0,1,1,1,1,0,0,1,1,2,2,1,1
10164,IGA M LAKE CARGELLIGO,NSW,1,1,0,0,1,1,1,1,1,1,2,2,1,1,0,0,0,0
9360,IGA M NARRANDERA,NSW,1,1,0,0,1,1,0,0,1,1,0,0,1,1,2,2,0,0
21216,IGA M TREGEAR,NSW,1,1,0,0,1,1,1,1,1,1,2,2,1,1,0,0,0,0
12653,IGA M WALGETT,NSW,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
210855,IGA M WEST WYALONG,NSW,1,1,0,0,1,1,1,1,1,1,2,2,0,0,0,0,0,0
41299,IGA L PERIES KINGAROY,QLD,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
17115,IGA L PERIES NANANGO,QLD,3,1,1,1,1,1,0,0,3,3,0,0,0,0,0,0,0,0
21718,IGA L PROSERPINE,QLD,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
13500,IGA M KILCOY (PERIES),QLD,3,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0
39150,IGA M PERIES WOODFORD,QLD,2,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0
